mean_,HRV_sdnn,HRV_rmssd,meanIBI,sum_LF,sum_HF,sum_UHF,LF_energia,HF_energia,UHF_energia,Ratio_LFHF,LFnorm,HFnorm,Rel_power_LF,Rel_power_HF,Rel_power_UHF,sd2,sd1,Lsd2,Tsd1,csi,mcsi,cvi,dfa_bvp,rrate,det,lmax,ent,lam,tt,corDim,nbPeaks,ampPeaks,riseTime,recoveryTime,aup,meanGSR,stdGSR,firstQuartileGSR,thirdQuartileGSR,sp0005,sp0515,sp_energyRatio,dfa,rrate,det,lmax,ent,lam,tt,corDim,mean_,std_,kurtosis_,skewness_,sp0001,sp0102,vol_id,trial_id
-0.182261883116098,0.07148216333691,0.0319318470675101,0.874659090909091,87.5351321217556,9.93024144956244,2.53462642868191,4.47204022274293,2.29558479292385,0.930046260772321,1.94810500423596,0.660799056151949,0.339200943848051,0.580960145236505,0.298218085767073,0.120821768996422,0.0969119169290193,0.0227940442304772,0.387647667716077,0.0911761769219089,4.25163327530274,1.64813572315517,-1.45168144663173,0.0114741965966925,20.5385696166656,92.3116069680955,222,4.49708954119141,88.2178508514386,5.69647371081901,2.33339893785033,0,0,0,0,0,2.71771966358774,0.00582543230466584,2.71669450757417,2.72179535766977,-0.782127672312747,-9.00643931354923,9.00626468718378,0.997892610316936,3.7948199985571,89.7338403041825,160,2.01687569576656,27.7566539923954,3.65,0.720885441194322,31.3548505115013,0.0129737843079842,3.87319087040822,1.21850448648307,9.34979443934398,0.505933928045559,79,10
-0.18294627924888,0.0392897468880409,0.0231414415235843,0.906,89.1539155715197,8.67101709483435,2.17506733364597,4.49036426450583,2.15998609588822,0.777059622059607,2.07888572665063,0.675207172730034,0.324792827269966,0.604566635625846,0.290812827215802,0.104620537158352,0.0531754791134727,0.0167846699758688,0.212701916453891,0.0671386799034751,3.16809798404871,0.673860512720868,-1.84525579927108,0.0103506745261426,21.7618788228413,92.2524153473851,222,4.71925128319085,89.2450076663034,5.77192353643967,2.1241093415021,0,0,0,0,0,2.71594091900287,0.00714396346091057,2.70725858246803,2.72237157935828,-0.784380678695625,-8.98930392482221,8.98912638792822,1.5131866946116,6.3572267920094,88.3548983364141,111,2.89386037363084,63.3086876155268,4.07738095238095,1.01535942030034,31.3522994247005,0.0056968510586701,3.36605244223096,1.03404574547993,9.35021598776963,0.508482450044123,79,10
-0.183244427737356,0.0251179576505893,0.0092259984619036,0.855568181818182,96.3501008139664,3.06799322422107,0.581905961812452,4.56798844119056,1.12102367496967,0.541446421947608,4.0748367257401,0.802949325457527,0.197050674542473,0.733170506352143,0.179926351826767,0.0869031418210901,0.0354186273967056,0.00660424646939917,0.141674509586823,0.0264169858775967,5.36300811316145,0.759801544342299,-2.42682501799498,0.00552978210491554,21.0061044858021,92.4195739957514,217,4.60265504712047,88.3059345874878,5.46906483347161,2.25559056483549,0,0,0,0,0,2.72400512323936,0.00968897905434425,2.718889401611,2.72890354185089,-0.782402087214538,-9.00235869743504,9.00218326247456,1.37864646777775,6.29426798101497,96.7517401392111,165,3.4942994759573,64.9651972157773,5.54455445544554,0.500765936028804,31.3547522474967,0.00919842197401429,2.75573560336164,0.942954922262162,9.34987659181955,0.500748186431118,79,10
-0.181923114294659,0.0356044740366793,0.0192840607756769,0.850357142857143,89.2722922309507,8.69406229111715,2.0336454779322,4.4916911623675,2.16264029738072,0.709829984466275,2.0769478714549,0.675002618901321,0.324997381098679,0.609939257360565,0.29367095137217,0.0963897912672649,0.0496239145446713,0.0139713051795833,0.198495658178685,0.0558852207183334,3.55184529339378,0.705025869261063,-1.95495201788138,-0.000786305842546061,20.7118349035081,91.9430911667087,172,4.60512819319928,87.3304089594534,5.5021094466524,2.07944541582786,0,0,0,0,0,2.74996471550956,0.0263609102098998,2.72890354185089,2.7527383386174,-0.782862875485856,-8.97695271050311,8.97677314908703,1.44548611789696,15.8793435652116,98.5774058577406,133,4.40816357833683,96.4853556485356,8.7680608365019,0.982904975828924,31.3714344720421,0.0143398905046486,2.07428091559933,-0.522656988667694,9.35174325918631,0.491674391749619,79,10
-0.181664193469403,0.0384950944195789,0.0183225076262581,0.851590909090909,90.5850135036636,6.06742273352649,3.34756376280987,4.5062887854997,1.80293392405488,1.20823284629121,2.4994198208689,0.714238344871779,0.285761655128221,0.599443355803478,0.239833000762188,0.160723643434334,0.0518669313862751,0.0132759180473517,0.2074677255451,0.053103672189407,3.90684329334357,0.81054389213112,-1.95792490001077,0.0163688188378554,20.1124415330159,92.2926244253448,137,4.58930689150343,87.7273635818509,5.51104972375691,2.20917897843579,0,0,0,0,0,2.78206764258565,0.0232563821873893,2.7527383386174,2.80126355661204,-0.777982379113671,-9.01771687533386,9.01754434180066,1.94087460448339,10.4294478527607,98.5652797704448,163,3.97541801791383,89.3113342898135,5.84507042253521,0.72322339907484,31.3815762789163,0.00900308799664927,3.11454897490339,-0.967623250169299,9.35264479208866,0.485813040384173,79,10
-0.182389828643495,0.0447572819294725,0.0157122563624707,0.863214285714286,91.8761528846285,5.81313536807685,2.31071174729472,4.52044150585839,1.76012007557638,0.837555592787804,2.56825745503647,0.719751163529824,0.280248836470176,0.635061406719833,0.247273265176141,0.117665328104026,0.0610923050542546,0.0106776944091286,0.244369220217018,0.0427107776365145,5.72148843312328,1.39815566688303,-1.98141601829193,-0.018809849747498,20.374148497597,92.4744973461455,120,4.64725977254415,88.3477042678716,5.64491931417045,2.12868207080822,0,0,0,0,0,2.78795852363423,0.01032205050513,2.7790493198921,2.79414554237359,-0.782828910524483,-8.98505243794652,8.98487424202628,1.63912601936418,7.10928319623972,94.8760330578512,184,3.30180214205667,80.1652892561983,4.27312775330396,0.42755344010872,31.361593890007,0.0211085186929255,1.58706563144108,0.117617338849001,9.35085093442595,0.503854317421832,79,10
-0.183093886798132,0.0220626351196101,0.0124868351727561,0.880625,88.2836638176886,10.2013982628643,1.51493791944705,4.48055508276668,2.32252479548953,0.415374460859069,1.92917427252797,0.658606860855374,0.341393139144626,0.620708377759973,0.321748214559488,0.0575434076805394,0.0306642471394876,0.00906341369662982,0.122656988557951,0.0362536547865193,3.38329995362453,0.414985383699839,-2.35195590719471,0.0170528808751989,21.418966317791,92.1753003003003,146,4.66980292448727,89.2473723723724,5.78057379042062,1.94522211879531,0.05,8.03518431773398e-05,0.5,0.8,0.00976404416899085,2.78776626879351,0.00915056808903783,2.7790493198921,2.79350144876035,-0.781732923925567,-8.99975916268951,8.99958331698172,1.57674651836035,4.97742931812782,87.3508353221957,183,2.62451016233197,58.5918854415274,4.12605042016807,0.555151496501228,31.3300813866436,0.0148932094289241,1.77118241645491,0.391864279023679,9.34874332707504,0.487462325436589,79,10
-0.182455952656767,0.0226865164867379,0.0158677570653736,0.861477272727272,80.611245754157,14.5500284224555,4.83872582338752,4.38963816526563,2.67759294704896,1.57665142643896,1.63939711975398,0.621125600041114,0.378874399958886,0.507831769530109,0.309767391567895,0.182400838901996,0.0294141709449876,0.0114765547758815,0.11765668377995,0.0459062191035261,2.56297917967531,0.301551630877654,-2.26751187143596,-0.00636314772208591,20.1723406693025,91.5602144323322,146,4.50134230618301,87.4210327029235,5.39669065633266,2.13174590788675,0.05,9.18836876890872e-06,0.15,0.7,0.00447817417820106,2.81695401880107,0.0246184913364462,2.79341749448799,2.84220624228991,-0.784874545280391,-8.98252437586108,8.982345866008,1.59637204266622,10.7484483388098,97.8260869565217,165,3.72304264625307,87.0244565217391,5.66814159292035,0.834468914525398,31.3152339714887,0.00408282575726812,2.75811375485794,0.45793662077472,9.34797136002763,0.479127615609854,79,10
-0.181992418937661,0.0217069223104169,0.014361406616345,0.881904761904762,82.5748732882632,13.1243072222534,4.30081948948339,4.41370543677084,2.57446602401821,1.45880558349128,1.71441588103849,0.631596614584566,0.368403385415434,0.522518933534865,0.304779569131355,0.17270149733378,0.0294572616371225,0.0104046421825726,0.11782904654849,0.0416185687302902,2.8311652741372,0.333593504872781,-2.30946049586676,0.0124177891513521,21.0523353628018,91.3496791934005,169,4.52546514534554,88.4729223953559,5.50909631391201,2.19259615519917,0.05,0.000302604367989656,0.5,1,0.0164297697211042,2.8785220883386,0.0423317973060473,2.84220624228991,2.91762524757644,-0.783229495135944,-9.01554897714728,9.01537601629969,1.75573279180923,21.6564952048823,99.194847020934,185,5.11014991583181,96.6183574879227,12.4137931034483,0.605761389572767,31.3101363564858,0.00509023088001855,2.01991109721441,-0.0784149556759266,9.34743184772038,0.493313022276351,79,10
-0.182510106463976,0.0317627841801448,0.0147196014438798,0.864772727272727,86.1694748660343,12.436609770606,1.39391536335968,4.4563159950708,2.52064452369033,0.33211659554509,1.76792719210822,0.638718820765535,0.361281179234465,0.609696125157628,0.344864951384439,0.0454389234579329,0.0439171975209625,0.0104951802997285,0.17566879008385,0.0419807211989141,4.18451101045863,0.735087986299816,-2.13225549470911,3.77895211091545e-05,21.1994701539488,91.402131452194,169,4.48381905033034,88.4277695604354,5.51362695832102,2.3658634788322,0.05,0.000291140276743018,0.5,0.85,0.01399636329832,2.92549573788146,0.016124965846736,2.91222740616298,2.94041561556292,-0.785065931645719,-9.00569456881665,9.00551985178314,1.04943672786927,9.2769109343695,95.8115183246073,110,3.47780895190134,86.9109947643979,6.38461538461539,0.470204667010115,31.3022451994349,0.00659898206136929,2.40597175176937,-0.211438741742327,9.34726448297912,0.497041857810876,79,10
